"uuid","connectionType","eventId","logType","timeStamp"
"be03dcb8-5026-465b-81a7-a8bc1e5effaf","0","0","0","1643874759838"
"ce136389-7ad2-46ba-be13-0fbbc828c379","0","1","0","1643874760081"
"55624ee6-b1eb-4d28-a1ec-c632b17686c0","0","0","0","1643874764873"
"08359961-c824-4f3c-b09b-344145dac666","0","1","0","1643874765080"
"16f5ee1c-46ed-47d5-a383-9cca2e973c79","0","0","0","1643874769906"
"df750aa2-8cc7-45a7-964a-38eaa36fd5e1","0","1","0","1643874770051"
"171d2b89-bfaa-46c1-9069-fa02d841f626","0","0","0","1643874774940"
"492b7259-cc2b-4d13-8b11-0b7e121fb1cb","0","1","0","1643874775473"
"a38eb252-0a87-4456-b057-a18c436dfa78","0","0","0","1643874779957"
"e7a075cb-21ca-4f50-86c1-86b531a00650","0","1","0","1643874780107"
"0a9ae033-a6fb-46db-bffc-096dc5c73692","0","0","0","1643874784977"
"b2a9089e-d4a0-4c9e-be5b-ce3d7ce76b7c","0","1","0","1643874785121"
"502e0f93-8293-493c-a181-c355aa11fc64","0","0","0","1643874790007"
"8a632488-e7c0-4af3-b9e6-863718c128e1","0","1","0","1643874790206"
"771035f9-591b-4ad6-9a7c-93742c120f26","0","0","0","1643874795033"
"74dcba80-bca3-4b2a-9a17-73220b470b05","0","1","0","1643874795208"
"6aef76a9-01df-4663-b710-7c7eb0ed8cfc","0","0","0","1643874800064"
"e3244363-2726-49f9-8447-21058c39375e","0","1","0","1643874800217"
"a337889f-0d70-459f-8252-1fdf877247f3","0","0","0","1643874805096"
"692ee2da-747e-4eaf-b314-8354ff985f3c","0","1","0","1643874805318"
"acce9c27-4f72-4be7-b7ea-db47289cd6b0","0","0","0","1643874810128"
"93dc576a-2d88-4a47-ba21-257ec2ea904f","0","1","0","1643874810241"
"037fa1a4-a176-443f-9800-c39ddb5600e7","0","0","0","1643874815161"
"5c0cafd1-443b-4c4b-93a0-4baccca638c6","0","1","0","1643874815306"
