"hops","uuid","connectionType","eventId","logType","timeStamp"
"10","3c69876a-0c20-441f-916e-201b889ea189","0","0","2","1643891794502"
"8","8dbc2396-0a11-4025-8b94-c10f08cdde8f","0","2","2","1643891795410"
"10","8939092b-a067-4f83-a097-b919447afa8f","0","0","2","1643891824513"
"8","39aa9d19-980a-4766-aa2d-14004a440ed4","0","2","2","1643891825844"
"10","cac00690-5c9f-4778-8c33-2f3c088a9657","0","0","2","1643891854521"
"8","1bd6c417-002a-4c0c-8724-5f3a6a19974b","0","2","2","1643891855777"
"10","3a7355e2-3894-4a71-af54-875d3232053c","0","0","2","1643891884527"
"8","564836f0-e49b-44e5-8bb3-2bf9143b041f","0","2","2","1643891885914"
"10","b4155a2e-6e1e-4bbc-a16a-2e0721224074","0","0","2","1643891914535"
"8","48bd649d-c2f9-406a-8af7-aed10280cae0","0","2","2","1643891915770"
"10","555fabcd-350f-436c-b645-76fabae19070","0","0","2","1643891944542"
"8","d9a9dfb0-7dba-4b01-9264-ecdfffea6c0e","0","2","2","1643891945781"
"10","11fbc898-06a7-44d6-b088-8217bffe7e4b","0","0","2","1643891974551"
"8","0ded02eb-0e8d-4254-bb92-a9d63b6907b6","0","2","2","1643891975742"
"10","b24691fb-6cbc-43d6-992a-1d316a58218e","0","0","2","1643892004560"
"8","a36a1950-e02f-4e88-8771-d0558a826bf5","0","2","2","1643892005828"
